Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,470nF,
C2,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,10nF,
C3,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,100nF,
C4,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,10uF,
"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N4001,
"H4, H5, H6, H7",MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,4,MountingHole,
"J12, J13, J14",TerminalBlock_bornier-2_P5.08mm,3,BOARD_CONN,
J31,PinHeader_1x03_P2.54mm_Vertical,1,Backlighting POT,
J32,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
Q1,TO-220F-3_Vertical,1,IRLIZ44N,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,5K,
U1,DIP-8_W7.62mm,1,NE555P,NE555P
