Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C17, C2, C21, C22, C23, C24, C25, C26, C3, C4, C5, C9",Perfect_0402,17,100nF,
"C10, C8",Perfect_0402,2,10uF,
"C11, C16",Perfect_0402,2,1uF,
"C6, C7",Perfect_0402,2,15pF,
D1,0805,1,LED,
"H1, H2, H3, H4, H5, H6, H7",MountingHole_2.7mm_M2.5_DIN965_Pad_TopBottom,7,MountingHole,
I2C_1,SOP65P640X120-24N,1,PCA9548APW,
J1,PinHeader_1x04_P2.54mm_Vertical,1,R_OLED,
J10,PinHeader_1x03_P2.54mm_Vertical,1,AP2,
J11,PinHeader_1x03_P2.54mm_Vertical,1,AP1,
J14,PinHeader_1x04_P2.54mm_Vertical,1,ALT_OLED,
J15,PinHeader_1x04_P2.54mm_Vertical,1,VSPEED_OLED,
J16,PinHeader_1x03_P2.54mm_Vertical,1,R_FD,
J17,PinHeader_1x03_P2.54mm_Vertical,1,R_LS,
J18,PinHeader_1x03_P2.54mm_Vertical,1,R_CSTR,
J19,PinHeader_1x03_P2.54mm_Vertical,1,R_WPT,
J2,PinHeader_1x04_P2.54mm_Vertical,1,L_OLED,
J20,PinHeader_1x03_P2.54mm_Vertical,1,R_VORD,
J21,PinHeader_1x03_P2.54mm_Vertical,1,R_NDB,
J22,PinHeader_1x03_P2.54mm_Vertical,1,R_ARPT,
J23,PinHeader_1x02_P2.54mm_Vertical,1,LB_PULL,
J24,PinHeader_1x02_P2.54mm_Vertical,1,LB_PUSH,
J25,PinHeader_1x03_P2.54mm_Vertical,1,LB_hPa/inHg,
J26,PinHeader_1x03_P2.54mm_Vertical,1,L_FD,
J27,PinHeader_1x03_P2.54mm_Vertical,1,L_LS,
J28,PinHeader_1x03_P2.54mm_Vertical,1,L_CSTR,
J29,PinHeader_1x03_P2.54mm_Vertical,1,L_WPT,
J3,PinHeader_1x04_P2.54mm_Vertical,1,SPD_OLED,
J30,PinHeader_1x02_P2.54mm_Vertical,1,SPD/MACH,
J31,PinHeader_1x02_P2.54mm_Vertical,1,HDG/TRK,
J32,PinHeader_1x02_P2.54mm_Vertical,1,MET_ALT,
J33,PinHeader_1x02_P2.54mm_Vertical,1,LVL_OFF,
J34,PinHeader_1x02_P2.54mm_Vertical,1,S_PUSH,
J35,PinHeader_1x03_P2.54mm_Vertical,1,HDG_ENC,
J36,PinHeader_1x03_P2.54mm_Vertical,1,RB_ENC,
J37,PinHeader_1x02_P2.54mm_Vertical,1,H_PUSH,
J38,PinHeader_1x02_P2.54mm_Vertical,1,RB_PULL,
J39,PinHeader_1x03_P2.54mm_Vertical,1,RB_hPa/inHg,
J4,PinHeader_1x04_P2.54mm_Vertical,1,HDG_OLED,
J40,PinHeader_1x03_P2.54mm_Vertical,1,L_VORD,
J41,PinHeader_1x03_P2.54mm_Vertical,1,SPD_ENC,
J42,PinHeader_1x03_P2.54mm_Vertical,1,ALT_ENC,
J43,PinHeader_1x02_P2.54mm_Vertical,1,A_PUSH,
J44,PinHeader_1x02_P2.54mm_Vertical,1,RB_PUSH,
J45,PinHeader_1x03_P2.54mm_Vertical,1,A_1H_1K,
J46,PinHeader_1x03_P2.54mm_Vertical,1,VS_ENC,
J47,PinHeader_1x03_P2.54mm_Vertical,1,L_NDB,
J48,PinHeader_1x02_P2.54mm_Vertical,1,VS_PUSH,
J49,PinHeader_1x03_P2.54mm_Vertical,1,RVOR/ADF_1,
J5,PinHeader_1x04_P2.54mm_Vertical,1,H_T_OLED,
J50,PinHeader_1x03_P2.54mm_Vertical,1,RVOR/ADF_2,
J51,PinHeader_1x06_P2.54mm_Vertical,1,R_MAP_MODE,
J52,PinHeader_1x03_P2.54mm_Vertical,1,L_ARPT,
J53,PinHeader_1x07_P2.54mm_Vertical,1,R_MAP_RANGE,
J54,PinHeader_1x06_P2.54mm_Vertical,1,L_MAP_MODE,
J55,PinHeader_1x07_P2.54mm_Vertical,1,L_MAP_RANGE,
J56,PinHeader_1x03_P2.54mm_Vertical,1,LB_ENC,
J57,PinHeader_1x03_P2.54mm_Vertical,1,LVOR/ADF_1,
J58,PinHeader_1x03_P2.54mm_Vertical,1,LVOR/ADF_2,
J59,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J6,PinHeader_1x03_P2.54mm_Vertical,1,APPR,
J60,PinHeader_1x04_P2.54mm_Vertical,1,RP2040_SWD,
J69,PinHeader_1x02_P2.54mm_Vertical,1,S_PULL,
J7,PinHeader_1x03_P2.54mm_Vertical,1,EXPED,
J70,PinHeader_1x02_P2.54mm_Vertical,1,H_PULL,
J71,PinHeader_1x02_P2.54mm_Vertical,1,A_PULL,
J72,PinHeader_1x02_P2.54mm_Vertical,1,VS_PULL,
J8,PinHeader_1x03_P2.54mm_Vertical,1,LOC,
