Designator,Mid X,Mid Y,Rotation,Layer
C1,226.37,-43.7,180.0,top
C10,131.2,-95.9,180.0,top
C11,140.7,-88.3,270.0,top
C12,141.75,-77.2,90.0,top
C13,143.8,-89.3,270.0,top
C14,144.8,-89.3,270.0,top
C15,113.1,-51.7,90.0,top
C16,139.7,-88.3,270.0,top
C17,157.65,-48.7,90.0,top
C2,64.505,-76.7,90.0,top
C21,148.8,-85.4,0.0,top
C22,137.7,-81.8,180.0,top
C23,148.8,-81.8,0.0,top
C24,142.95,-77.2,90.0,top
C25,137.7,-84.35,180.0,top
C26,137.7,-85.35,180.0,top
C3,89.5,-76.7,90.0,top
C4,188.2,-78.7,90.0,top
C5,213.2,-78.7,90.0,top
C6,146.55,-72.65,0.0,top
C7,146.55,-70.65,0.0,top
C8,131.4,-109.95,180.0,top
C9,152.7,-101.35,180.0,top
D1,126.6,-115.25,90.0,top
I2C_1,223.4,-49.45,0.0,top
J1,26.35,-72.65,0.0,top
J10,134.225,-35.6,90.0,top
J11,155.865,-35.6,90.0,top
J14,120.33,-25.1,90.0,top
J15,107.56,-25.1,90.0,top
J16,36.4,-83.925,0.0,top
J17,36.4,-73.925,0.0,top
J18,26.35,-83.925,0.0,top
J19,36.4,-63.925,0.0,top
J2,263.6,-72.7,0.0,top
J20,36.4,-53.925,0.0,top
J21,36.4,-43.925,0.0,top
J22,36.4,-33.925,0.0,top
J23,263.6,-92.575,0.0,top
J24,263.6,-100.075,0.0,top
J25,253.6,-103.875,0.0,top
J26,253.6,-83.875,0.0,top
J27,253.6,-73.825,0.0,top
J28,263.6,-83.825,0.0,top
J29,253.6,-63.825,0.0,top
J3,156.53,-25.1,90.0,top
J30,206.175,-25.1,90.0,top
J31,122.675,-35.6,90.0,top
J32,82.675,-25.1,90.0,top
J33,60.175,-25.1,90.0,top
J34,193.675,-47.1,90.0,top
J35,183.925,-25.1,90.0,top
J36,36.4,-93.925,0.0,top
J37,182.675,-47.1,90.0,top
J38,26.35,-92.645,0.0,top
J39,36.4,-103.925,0.0,top
J4,169.56,-25.1,90.0,top
J40,253.6,-53.875,0.0,top
J41,194.925,-25.1,90.0,top
J42,93.425,-25.1,90.0,top
J43,92.175,-48.6,90.0,top
J44,26.35,-100.125,0.0,top
J45,48.925,-25.1,90.0,top
J46,71.425,-25.1,90.0,top
J47,253.6,-43.925,0.0,top
J48,70.175,-48.6,90.0,top
J49,45.4,-93.925,0.0,top
J5,133.34,-25.1,90.0,top
J50,45.4,-103.925,0.0,top
J51,26.35,-57.7,0.0,top
J52,253.6,-33.875,0.0,top
J53,26.4,-39.025,0.0,top
J54,263.6,-57.75,0.0,top
J55,263.6,-38.985,0.0,top
J56,253.65,-93.825,0.0,top
J57,243.6,-93.775,0.0,top
J58,243.6,-103.825,0.0,top
J59,195.25,-114.65,90.0,top
J6,80.425,-48.6,90.0,top
J60,210.58,-113.95,90.0,top
J69,193.675,-35.6,90.0,top
J7,80.375,-35.6,90.0,top
J70,182.675,-35.6,90.0,top
J71,92.125,-35.6,90.0,top
J72,70.125,-35.6,90.0,top
J8,168.925,-35.6,90.0,top
J9,145.015,-35.6,90.0,top
P1,141.625,-117.565,0.0,top
R1,216.09,-48.225,0.0,top
R10,159.725,-103.295,270.0,top
R11,224.625,-78.7,90.0,top
R12,124.5,-51.65,90.0,top
R13,131.25,-115.2,270.0,top
R14,143.95,-77.25,90.0,top
R16,151.6,-80.15,0.0,top
R17,141.7,-88.45,90.0,top
R18,142.65,-88.45,90.0,top
R19,169.02,-48.77,90.0,top
R2,216.09,-45.975,180.0,top
R20,220.32,-43.7,0.0,top
R21,216.04,-52.725,0.0,top
R22,216.04,-55.025,0.0,top
R23,216.04,-57.325,0.0,top
R24,216.04,-59.575,0.0,top
R25,230.31,-59.5,180.0,top
R26,230.31,-57.2,180.0,top
R27,230.31,-52.7,180.0,top
R28,230.31,-54.95,180.0,top
R29,230.26,-48.15,180.0,top
R3,216.09,-43.495,0.0,top
R30,230.31,-50.45,180.0,top
R4,216.09,-50.475,0.0,top
R5,230.26,-45.8,0.0,top
R6,230.26,-43.55,180.0,top
R7,75.905,-76.7,90.0,top
R8,100.905,-76.7,90.0,top
R9,199.65,-78.75,90.0,top
U1,71.45,-84.2,0.0,top
U2,96.45,-84.2,0.0,top
U3,195.175,-86.15,0.0,top
U4,220.175,-86.15,0.0,top
U5,131.15,-103.1,270.0,top
U6,120.055,-59.0,0.0,top
U7,156.625,-97.195,90.0,top
U8,143.125,-82.8,270.0,top
U9,164.625,-56.2,0.0,top
Y1,141.85,-71.55,180.0,top
