Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C5, C7, C8",Perfect_0402,12,100nF,
"C18, C9",Perfect_0402,2,1uF,
"C2, C3",Perfect_0402,2,15pF,
"C4, C6",Perfect_0402,2,10uF,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D9",0805,13,EMERALD,
"D15, D16, D17, D18, D19, D20, D21, D22, D23, D24",0603,10,WHITE,
J1,PinSocket_1x04_P2.54mm_Vertical,1,VHF Active OLED,
J2,PinSocket_1x04_P2.54mm_Vertical,1,VHF Standby OLED,
J3,USB_B_Mini_Amphenol_UE25BE5510H,1,USB_B_Micro,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,PinHeader_1x04_P2.54mm_Vertical,1,RP2040_SWD,
"R1, R10, R18, R19, R2, R20, R21, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R5, R6, R7, R8, R9",0402,36,100,
"R11, R12, R13, R14, R15, R16",0402,6,4.7K,
"R17, R48, R51",0402,3,10K,
"R45, R46",0402,2,1k,
R47,0402,1,DNF,
"R49, R50",0402,2,27,
SW1,SW_TL3240F260R,1,VHF1_SW,C4364809
SW10,SW_TL3240F260R,1,VOR,C4364985
SW11,SW_TL3240F260R,1,ILS,C4364985
SW12,SW_TL3240F260R,1,MLS,C4364985
SW13,SW_TL3240F260R,1,ADF,C4364985
SW14,SW_TL3240F260R,1,BFO,C4364985
SW2,SW_TL3240F260R,1,VHF2_SW,C4364809
SW3,SW_TL3240F260R,1,VHF3_SW,C4364809
SW4,SW_TL3240F260R,1,XFER_SW,C4364985
SW6,SW_TL3240F260R,1,HF1,C4364809
SW7,SW_TL3240F260R,1,HF2,C4364809
SW8,SW_TL3240F260R,1,AM,C4364809
SW9,SW_TL3240F260R,1,NAV,C4364985
U1,EC11EBB24C03,1,ENCODER,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOP65P640X120-24N,1,PCA9548APW,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U6,SOIC-24W_7.5x15.4mm_P1.27mm,1,CD74HC4067M,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
