Designator,Mid X,Mid Y,Rotation,Layer
C1,61.46,-24.01,0.0,top
C10,118.47,-23.37,90.0,top
C11,115.93,-27.54,0.0,top
C12,129.08,-31.2,0.0,top
C13,115.94,-30.47,0.0,top
C14,122.31,-36.67,90.0,top
C15,129.07,-28.84,0.0,top
C16,129.06,-26.5,0.0,top
C17,148.35,-79.515,0.0,top
C18,123.75,-23.93,90.0,top
C2,126.06,-41.63,90.0,top
C3,118.45,-41.58,270.0,top
C4,148.97,-22.0975,0.0,top
C5,143.09,-34.45,0.0,top
C6,134.94,-24.3775,180.0,top
C7,119.89,-23.37,90.0,top
C8,120.78,-36.69,90.0,top
C9,125.11,-23.94,90.0,top
D1,50.75,-42.0,0.0,top
D10,95.75,-79.5,0.0,top
D11,35.75,-79.5,0.0,top
D12,80.75,-79.5,0.0,top
D13,110.75,-79.5,0.0,top
D14,80.75,-60.75,0.0,top
D15,41.4575,-18.48,0.0,top
D16,93.7475,-18.4,0.0,top
D17,67.07,-18.4,0.0,top
D18,101.48,-61.78,0.0,top
D19,128.2375,-18.32,0.0,top
D2,65.75,-42.0,0.0,top
D20,49.03,-74.74,0.0,top
D21,97.3175,-74.74,0.0,top
D22,117.45,-53.44,0.0,top
D23,134.84,-74.5,0.0,top
D24,101.32,-42.16,0.0,top
D3,35.75,-42.0,0.0,top
D4,49.94,-66.8,0.0,top
D5,65.75,-60.75,0.0,top
D6,65.75,-79.5,0.0,top
D7,35.75,-60.75,0.0,top
D9,50.75,-79.5,0.0,top
J1,35.475,-27.55,0.0,top
J2,93.475,-27.55,0.0,top
J3,157.0,-58.9,270.0,bottom
J4,157.15,-46.23,0.0,top
J5,157.24,-73.08,0.0,top
R1,71.25,-24.5,90.0,top
R10,69.94,-79.54,0.0,top
R11,48.05,-28.6,0.0,top
R12,48.05,-24.71,180.0,top
R13,48.05,-27.3,180.0,top
R14,48.05,-26.0,0.0,top
R15,61.45,-25.33,0.0,top
R16,61.45,-26.7,180.0,top
R17,48.04,-23.21,0.0,top
R18,49.91,-64.0,0.0,top
R19,39.95,-60.81,0.0,top
R2,39.45,-42.01,0.0,top
R20,69.36,-60.91,0.0,top
R21,63.08,-79.46,270.0,top
R23,39.96,-79.52,0.0,top
R24,54.95,-79.52,0.0,top
R25,99.95,-79.49,0.0,top
R26,84.96,-60.51,0.0,top
R27,84.95,-79.51,0.0,top
R28,114.95,-79.51,0.0,top
R29,33.11,-79.43,270.0,top
R3,54.55,-42.11,0.0,top
R30,48.04,-79.46,270.0,top
R31,93.22,-79.43,270.0,top
R32,78.0,-60.68,270.0,top
R33,78.06,-79.46,270.0,top
R34,108.08,-79.43,270.0,top
R35,38.05,-18.5,0.0,top
R36,90.35,-18.39,0.0,top
R37,63.35,-18.36,0.0,top
R38,105.86,-61.78,0.0,top
R39,124.75,-18.3,0.0,top
R4,69.45,-42.11,0.0,top
R40,45.68,-74.74,0.0,top
R41,93.83,-74.74,0.0,top
R42,113.33,-53.44,0.0,top
R43,132.13,-75.54,90.0,top
R44,106.02,-42.16,0.0,top
R45,131.04,-39.48,180.0,top
R46,124.36,-36.76,270.0,top
R47,131.05,-37.49,0.0,top
R48,116.03,-33.1,0.0,top
R49,121.33,-24.05,270.0,top
R5,32.95,-41.92,90.0,top
R50,122.4,-24.05,270.0,top
R51,148.25,-90.935,0.0,top
R6,47.97,-41.91,90.0,top
R7,63.05,-41.9,90.0,top
R8,33.04,-60.62,90.0,top
R9,63.04,-60.69,90.0,top
SW1,35.75,-50.25,0.0,top
SW10,50.75,-87.75,0.0,top
SW11,95.75,-87.75,0.0,top
SW12,80.75,-69.0,0.0,top
SW13,80.75,-87.75,0.0,top
SW14,110.75,-87.75,0.0,top
SW2,50.75,-50.25,0.0,top
SW3,65.75,-50.25,0.0,top
SW4,79.7875,-27.6,0.0,top
SW6,35.75,-69.0,0.0,top
SW7,65.75,-69.0,0.0,top
SW8,65.75,-87.75,0.0,top
SW9,35.75,-87.75,0.0,top
U1,125.97,-63.05,0.0,top
U2,142.43,-24.34,0.0,top
U3,55.06,-27.595,0.0,top
U4,139.16,-39.425,270.0,top
U5,122.4125,-30.25,90.0,top
U6,139.25,-86.495,270.0,top
X1,122.32,-41.62,0.0,top
